movieId,title,genres,rating,year
368,Drums,"['Adventure', 'War']",6.6,1938
369,The Baker's Wife,"['Comedy', 'Drama']",7.6,1938
370,Four Daughters,"['Drama', 'Music', 'Romance']",7.1,1938
371,The Great Waltz,"['Biography', 'Drama', 'Music']",6.7,1938
372,Hotel du Nord,"['Drama', 'Romance']",7.7,1938
373,Jezebel,"['Drama', 'Romance']",7.6,1938
374,A Woman's Face,['Drama'],7.1,1938
375,The Lady Vanishes,"['Comedy', 'Mystery', 'Thriller']",8.0,1938
376,Love Finds Andy Hardy,"['Comedy', 'Romance']",6.8,1938
377,A Man to Remember,"['Drama', 'Romance']",7.1,1938
378,Marie Antoinette,"['Biography', 'Drama', 'History']",7.6,1938
379,Mother Carey's Chickens,"['Drama', 'Romance']",6.4,1938
380,Olympia Part One: Festival of the Nations,"['Documentary', 'Sport']",8.1,1938
381,Olympia Part Two: Festival of Beauty,"['Documentary', 'Sport']",8.0,1938
382,Of Human Hearts,"['Drama', 'Western']",6.9,1938
383,Pygmalion,"['Comedy', 'Drama', 'Romance']",7.9,1938
384,Port of Shadows,"['Crime', 'Drama', 'Romance']",7.6,1938
385,The Rage of Paris,['Comedy'],7.2,1938
386,Sweethearts,['Musical'],6.5,1938
387,Test Pilot,"['Drama', 'Romance']",7.0,1938
388,Three Comrades,"['Drama', 'Romance']",7.5,1938
389,Too Much Johnson,['Comedy'],6.3,1938
390,The Beachcomber,['Drama'],7.0,1938
391,Volga - Volga,"['Comedy', 'Musical']",7.0,1938
392,White Banners,['Drama'],7.1,1938
393,You Can't Take It With You,"['Comedy', 'Drama', 'Romance']",8.0,1938
394,You and Me,"['Crime', 'Romance']",7.0,1938
395,Vivacious Lady,"['Comedy', 'Romance']",7.3,1938
396,Confessions of a Nazi Spy,"['Drama', 'War']",6.8,1939
397,Dark Victory,"['Drama', 'Romance']",7.6,1939
398,Destry Rides Again,"['Comedy', 'Western']",7.8,1939
399,La fin du jour,['Drama'],7.9,1939
400,The Four Feathers,"['Adventure', 'Drama', 'Romance']",7.6,1939
401,"Goodbye, Mr. Chips","['Drama', 'Romance']",7.7,1939
402,Gone with the Wind,"['Drama', 'Romance', 'War']",8.2,1939
403,Gunga Din,"['Adventure', 'War']",7.6,1939
404,Le Jour se Leve,"['Crime', 'Drama', 'Romance']",7.8,1939
405,Midnight,"['Comedy', 'Romance']",7.9,1939
406,The Mikado,"['Musical', 'Comedy']",6.7,1939
407,Mr. Smith Goes to Washington,['Drama'],8.3,1939
408,Ninotchka,"['Comedy', 'Romance']",8.0,1939
409,Of Mice and Men,['Drama'],7.8,1939
410,The Rains Came,"['Adventure', 'Drama', 'Romance']",7.0,1939
411,The Roaring Twenties,"['Crime', 'Drama', 'Film-Noir']",7.9,1939
412,The Rules of the Game,"['Comedy', 'Drama', 'Romance']",8.1,1939
413,Stagecoach,"['Adventure', 'Western']",7.9,1939
414,The Stars Look Down,['Drama'],7.2,1940
415,The Spy in Black,"['Thriller', 'War']",7.0,1939
416,The Story of Vernon and Irene Castle,"['Biography', 'Musical', 'Romance']",7.0,1939
417,Tevya,['Drama'],6.9,1939
418,Traktoristy,"['Drama', 'Comedy']",7.0,1939
419,Union Pacific,"['Drama', 'Western']",7.2,1939
420,On His Own,"['Biography', 'Drama']",6.9,1939
421,The Wizard of Oz,"['Adventure', 'Family', 'Fantasy']",8.1,1939
422,The Women,"['Comedy', 'Drama']",8.0,1939
423,Wuthering Heights,"['Drama', 'Romance']",7.7,1939
424,Zangiku monogatari,"['Drama', 'Romance']",7.9,1939
425,Young Mr. Lincoln,"['Biography', 'Drama']",7.7,1939
426,The Siege of the Alcazar,"['Drama', 'History', 'War']",6.4,1940
